,Date,Open,High,Low,Close,Volume
43,12-Sep-17,162.61,163.96,158.77,160.86,71714046
44,11-Sep-17,160.5,162.05,159.89,161.5,31580798
45,8-Sep-17,160.86,161.15,158.53,158.63,28611535
46,7-Sep-17,162.09,162.24,160.36,161.26,21928502
47,6-Sep-17,162.71,162.99,160.52,161.91,21651726
48,5-Sep-17,163.75,164.25,160.56,162.08,29536314
49,1-Sep-17,164.8,164.94,163.63,164.05,16591051
50,31-Aug-17,163.64,164.52,163.48,164.0,26785096
51,30-Aug-17,163.8,163.89,162.61,163.35,27269584
52,29-Aug-17,160.1,163.12,160.0,162.91,29516910
53,28-Aug-17,160.14,162.0,159.93,161.47,25965972
54,25-Aug-17,159.65,160.56,159.27,159.86,25480063
55,24-Aug-17,160.43,160.74,158.55,159.27,19818918
56,23-Aug-17,159.07,160.47,158.88,159.98,19399081
57,22-Aug-17,158.23,160.0,158.02,159.78,21604585
58,21-Aug-17,157.5,157.89,155.11,157.21,26368528
59,18-Aug-17,157.86,159.5,156.72,157.5,27428069
60,17-Aug-17,160.52,160.71,157.84,157.86,27940565
61,16-Aug-17,161.94,162.51,160.15,160.95,27671612
62,15-Aug-17,160.66,162.2,160.14,161.6,29465487
63,14-Aug-17,159.32,160.21,158.75,159.85,22122734
64,11-Aug-17,156.6,158.57,156.07,157.48,26257096
65,10-Aug-17,159.9,160.0,154.63,155.32,40804273
66,9-Aug-17,159.26,161.27,159.11,161.06,26131530
67,8-Aug-17,158.6,161.83,158.27,160.08,36205896
68,7-Aug-17,157.06,158.92,156.67,158.81,21870321
69,4-Aug-17,156.07,157.4,155.69,156.39,20559852
70,3-Aug-17,157.05,157.21,155.02,155.57,27097296
71,2-Aug-17,159.28,159.75,156.16,157.14,69936800
72,1-Aug-17,149.1,150.22,148.41,150.05,35368645
73,31-Jul-17,149.9,150.33,148.13,148.73,19845920
74,28-Jul-17,149.89,150.23,149.19,149.5,17213653
75,27-Jul-17,153.75,153.99,147.3,150.56,32476337
76,26-Jul-17,153.35,153.93,153.06,153.46,15780951
77,25-Jul-17,151.8,153.84,151.8,152.74,18853932
78,24-Jul-17,150.58,152.44,149.9,152.09,21493160
79,21-Jul-17,149.99,150.44,148.88,150.27,26252630
80,20-Jul-17,151.5,151.74,150.19,150.34,17243748
81,19-Jul-17,150.48,151.42,149.95,151.02,20922969
82,18-Jul-17,149.2,150.13,148.67,150.08,17868792
83,17-Jul-17,148.82,150.9,148.57,149.56,23793456
84,14-Jul-17,147.97,149.33,147.33,149.04,20132061
85,13-Jul-17,145.5,148.49,145.44,147.77,25199373
86,12-Jul-17,145.87,146.18,144.82,145.74,24884478
87,11-Jul-17,144.73,145.85,144.38,145.53,19781836
88,10-Jul-17,144.11,145.95,143.37,145.06,21090636
89,7-Jul-17,142.9,144.75,142.9,144.18,19201712
